ticker,date,open,close
1617.T,2026-09-09,47570.0,47240.0
1617.T,2026-09-10,46890.0,47230.0
1617.T,2026-09-11,47350.0,47110.0
1617.T,2026-09-14,46500.0,47540.0
1617.T,2026-09-15,47820.0,47420.0
1617.T,2026-09-16,47230.0,47600.0
1618.T,2026-09-09,37290.0,37520.0
1618.T,2026-09-10,38000.0,37610.0
1618.T,2026-09-11,37900.0,37450.0
1618.T,2026-09-14,37670.0,37450.0
1618.T,2026-09-15,36750.0,36910.0
1618.T,2026-09-16,37610.0,38430.0
1619.T,2026-09-09,44160.0,45020.0
1619.T,2026-09-10,44700.0,44370.0
1619.T,2026-09-11,43930.0,43860.0
1619.T,2026-09-14,43490.0,44050.0
1619.T,2026-09-15,43830.0,43910.0
1619.T,2026-09-16,44250.0,44510.0
1620.T,2026-09-09,35800.0,35800.0
1620.T,2026-09-10,35710.0,36040.0
1620.T,2026-09-11,35500.0,35520.0
1620.T,2026-09-14,35720.0,35620.0
1620.T,2026-09-15,35860.0,35490.0
1620.T,2026-09-16,35830.0,35980.0
1621.T,2026-09-09,29770.0,29495.0
1621.T,2026-09-10,29500.0,29230.0
1621.T,2026-09-11,29290.0,29360.0
1621.T,2026-09-14,28860.0,29745.0
1621.T,2026-09-15,30060.0,30070.0
1621.T,2026-09-16,30080.0,29780.0
1622.T,2026-09-09,33420.0,33770.0
1622.T,2026-09-10,33510.0,33790.0
1622.T,2026-09-11,33090.0,34090.0
1622.T,2026-09-14,33890.0,34260.0
1622.T,2026-09-15,34350.0,34000.0
1622.T,2026-09-16,34020.0,34440.0
1623.T,2026-09-09,62600.0,66330.0
1623.T,2026-09-10,65330.0,65000.0
1623.T,2026-09-11,63010.0,62720.0
1623.T,2026-09-14,61720.0,61430.0
1623.T,2026-09-15,60430.0,60850.0
1623.T,2026-09-16,60810.0,61240.0
1624.T,2026-09-09,81220.0,82360.0
1624.T,2026-09-10,81540.0,81360.0
1624.T,2026-09-11,80020.0,80270.0
1624.T,2026-09-14,79510.0,80340.0
1624.T,2026-09-15,79990.0,80350.0
1624.T,2026-09-16,80550.0,80960.0
1625.T,2026-09-09,62000.0,61960.0
1625.T,2026-09-10,62000.0,62240.0
1625.T,2026-09-11,60000.0,61130.0
1625.T,2026-09-14,60130.0,61080.0
1625.T,2026-09-15,60710.0,61120.0
1625.T,2026-09-16,61680.0,61580.0
1626.T,2026-09-09,48530.0,48520.0
1626.T,2026-09-10,48310.0,49190.0
1626.T,2026-09-11,47370.0,48370.0
1626.T,2026-09-14,47980.0,48700.0
1626.T,2026-09-15,49180.0,49510.0
1626.T,2026-09-16,49210.0,49000.0
1627.T,2026-09-09,12590.0,12940.0
1627.T,2026-09-10,13025.0,12925.0
1627.T,2026-09-11,12815.0,12805.0
1627.T,2026-09-14,12705.0,12915.0
1627.T,2026-09-15,12715.0,12800.0
1627.T,2026-09-16,12810.0,13035.0
1628.T,2026-09-09,22000.0,22025.0
1628.T,2026-09-10,21860.0,21870.0
1628.T,2026-09-11,21870.0,21935.0
1628.T,2026-09-14,21935.0,22345.0
1628.T,2026-09-15,22345.0,22100.0
1628.T,2026-09-16,22135.0,22330.0
1629.T,2026-09-09,278.29998779296875,281.0
1629.T,2026-09-10,279.8999938964844,276.6000061035156
1629.T,2026-09-11,270.0,278.70001220703125
1629.T,2026-09-14,279.20001220703125,282.79998779296875
1629.T,2026-09-15,283.3999938964844,276.5
1629.T,2026-09-16,278.0,281.70001220703125
1630.T,2026-09-09,37300.0,36680.0
1630.T,2026-09-10,36230.0,36290.0
1630.T,2026-09-11,36310.0,36030.0
1630.T,2026-09-14,35330.0,36620.0
1630.T,2026-09-15,36900.0,36450.0
1630.T,2026-09-16,36240.0,36320.0
1631.T,2026-09-09,41340.0,40810.0
1631.T,2026-09-10,40770.0,41610.0
1631.T,2026-09-11,41000.0,41610.0
1631.T,2026-09-14,41750.0,42300.0
1631.T,2026-09-15,42300.0,41760.0
1631.T,2026-09-16,41660.0,42020.0
1632.T,2026-09-09,42800.0,42130.0
1632.T,2026-09-10,42110.0,42640.0
1632.T,2026-09-11,42080.0,43080.0
1632.T,2026-09-14,43080.0,44180.0
1632.T,2026-09-15,44070.0,43610.0
1632.T,2026-09-16,43800.0,43950.0
1633.T,2026-09-09,48400.0,48540.0
1633.T,2026-09-10,48460.0,48250.0
1633.T,2026-09-11,47880.0,47990.0
1633.T,2026-09-14,47750.0,48590.0
1633.T,2026-09-15,49040.0,47890.0
1633.T,2026-09-16,48390.0,48540.0
XLB,2026-09-09,52.02000045776367,51.38999938964844
XLB,2026-09-10,50.7599983215332,50.7599983215332
XLB,2026-09-11,51.189998626708984,50.95000076293945
XLB,2026-09-14,50.68000030517578,50.4900016784668
XLB,2026-09-15,50.54999923706055,
XLC,2026-09-09,111.91999816894531,110.83000183105469
XLC,2026-09-10,110.62000274658203,111.5
XLC,2026-09-11,112.33999633789062,112.5999984741211
XLC,2026-09-14,113.62999725341797,115.06999969482422
XLC,2026-09-15,114.25,
XLE,2026-09-09,65.55999755859375,65.30999755859375
XLE,2026-09-10,66.13999938964844,64.93000030517578
XLE,2026-09-11,64.88999938964844,65.13999938964844
XLE,2026-09-14,65.95999908447266,64.52999877929688
XLE,2026-09-15,64.87999725341797,
XLF,2026-09-09,57.130001068115234,57.060001373291016
XLF,2026-09-10,56.90999984741211,56.869998931884766
XLF,2026-09-11,57.439998626708984,57.25
XLF,2026-09-14,57.34000015258789,57.029998779296875
XLF,2026-09-15,56.970001220703125,
XLI,2026-09-09,173.52999877929688,171.7899932861328
XLI,2026-09-10,170.8300018310547,170.5500030517578
XLI,2026-09-11,172.4499969482422,172.3699951171875
XLI,2026-09-14,168.6699981689453,169.92999267578125
XLI,2026-09-15,170.47000122070312,
XLK,2026-09-09,187.52999877929688,187.8699951171875
XLK,2026-09-10,185.24000549316406,185.22000122070312
XLK,2026-09-11,187.35000610351562,187.6699981689453
XLK,2026-09-14,183.0,184.27999877929688
XLK,2026-09-15,184.5,
XLP,2026-09-09,83.51000213623047,83.05000305175781
XLP,2026-09-10,83.37000274658203,83.08999633789062
XLP,2026-09-11,83.51000213623047,83.37999725341797
XLP,2026-09-14,84.37999725341797,84.41999816894531
XLP,2026-09-15,83.99500274658203,
XLRE,2026-09-09,43.75,43.40999984741211
XLRE,2026-09-10,43.470001220703125,43.04999923706055
XLRE,2026-09-11,43.400001525878906,43.41999816894531
XLRE,2026-09-14,43.38999938964844,43.119998931884766
XLRE,2026-09-15,43.11000061035156,
XLU,2026-09-09,43.400001525878906,42.939998626708984
XLU,2026-09-10,42.9900016784668,42.52000045776367
XLU,2026-09-11,42.88999938964844,42.38999938964844
XLU,2026-09-14,42.380001068115234,41.81999969482422
XLU,2026-09-15,41.91999816894531,
XLV,2026-09-09,167.30999755859375,166.5800018310547
XLV,2026-09-10,166.5,165.66000366210938
XLV,2026-09-11,166.8300018310547,165.36000061035156
XLV,2026-09-14,168.00999450683594,167.75
XLV,2026-09-15,167.7899932861328,
XLY,2026-09-09,112.95999908447266,112.45999908447266
XLY,2026-09-10,111.48999786376953,111.95999908447266
XLY,2026-09-11,112.87000274658203,112.95999908447266
XLY,2026-09-14,112.30999755859375,112.8499984741211
XLY,2026-09-15,112.52999877929688,
