ticker,bar_start_utc,observed_at_utc,open,high,low,close,volume
1617.T,2026-09-24T00:00:00+00:00,2026-09-24T04:59:06.961058+00:00,47410.0,47460.0,47400.0,47460.0,5
1617.T,2026-09-24T00:05:00+00:00,2026-09-24T04:59:06.961058+00:00,47520.0,47520.0,47460.0,47460.0,43
1617.T,2026-09-24T00:15:00+00:00,2026-09-24T04:59:06.961058+00:00,47460.0,47460.0,47460.0,47460.0,1
1617.T,2026-09-24T00:20:00+00:00,2026-09-24T04:59:06.961058+00:00,47590.0,47590.0,47590.0,47590.0,1
1618.T,2026-09-24T00:00:00+00:00,2026-09-24T04:59:06.961058+00:00,37280.0,37400.0,37010.0,37400.0,1345
1618.T,2026-09-24T00:05:00+00:00,2026-09-24T04:59:06.961058+00:00,37430.0,37530.0,37240.0,37240.0,95
1618.T,2026-09-24T00:10:00+00:00,2026-09-24T04:59:06.961058+00:00,37240.0,37240.0,37190.0,37190.0,2
1618.T,2026-09-24T00:15:00+00:00,2026-09-24T04:59:06.961058+00:00,37430.0,37430.0,37270.0,37270.0,337
1618.T,2026-09-24T00:20:00+00:00,2026-09-24T04:59:06.961058+00:00,37240.0,37250.0,37200.0,37250.0,9
1618.T,2026-09-24T00:25:00+00:00,2026-09-24T04:59:06.961058+00:00,37250.0,37250.0,37200.0,37200.0,352
1618.T,2026-09-24T00:30:00+00:00,2026-09-24T04:59:06.961058+00:00,37180.0,37220.0,37180.0,37220.0,6
1619.T,2026-09-24T00:00:00+00:00,2026-09-24T04:59:06.961058+00:00,44980.0,45050.0,44980.0,45050.0,14
1619.T,2026-09-24T00:05:00+00:00,2026-09-24T04:59:06.961058+00:00,45090.0,45100.0,45000.0,45000.0,108
1619.T,2026-09-24T00:15:00+00:00,2026-09-24T04:59:06.961058+00:00,45000.0,45000.0,45000.0,45000.0,5
1619.T,2026-09-24T00:20:00+00:00,2026-09-24T04:59:06.961058+00:00,45020.0,45020.0,45020.0,45020.0,60
1619.T,2026-09-24T00:25:00+00:00,2026-09-24T04:59:06.961058+00:00,45050.0,45050.0,45050.0,45050.0,3
1620.T,2026-09-24T00:00:00+00:00,2026-09-24T04:59:06.961058+00:00,36340.0,36590.0,36340.0,36580.0,33
1620.T,2026-09-24T00:05:00+00:00,2026-09-24T04:59:06.961058+00:00,36650.0,36650.0,36650.0,36650.0,0
1620.T,2026-09-24T00:20:00+00:00,2026-09-24T04:59:06.961058+00:00,36630.0,36640.0,36630.0,36640.0,2
1620.T,2026-09-24T00:30:00+00:00,2026-09-24T04:59:06.961058+00:00,36640.0,36680.0,36640.0,36680.0,11
1621.T,2026-09-24T00:00:00+00:00,2026-09-24T04:59:06.961058+00:00,30710.0,30820.0,30620.0,30620.0,0
1621.T,2026-09-24T00:05:00+00:00,2026-09-24T04:59:06.961058+00:00,30610.0,30620.0,30500.0,30500.0,1
1621.T,2026-09-24T00:10:00+00:00,2026-09-24T04:59:06.961058+00:00,30500.0,30500.0,30500.0,30500.0,2
1621.T,2026-09-24T00:15:00+00:00,2026-09-24T04:59:06.961058+00:00,30390.0,30390.0,30390.0,30390.0,1
1621.T,2026-09-24T00:20:00+00:00,2026-09-24T04:59:06.961058+00:00,30360.0,30360.0,30360.0,30360.0,7
1621.T,2026-09-24T00:25:00+00:00,2026-09-24T04:59:06.961058+00:00,30430.0,30440.0,30430.0,30440.0,2
1622.T,2026-09-24T00:00:00+00:00,2026-09-24T04:59:06.961058+00:00,34510.0,34510.0,34440.0,34440.0,24
1622.T,2026-09-24T00:05:00+00:00,2026-09-24T04:59:06.961058+00:00,34430.0,34430.0,34350.0,34350.0,29
1622.T,2026-09-24T00:10:00+00:00,2026-09-24T04:59:06.961058+00:00,34330.0,34330.0,34320.0,34320.0,42
1622.T,2026-09-24T00:15:00+00:00,2026-09-24T04:59:06.961058+00:00,34300.0,34300.0,34300.0,34300.0,37
1623.T,2026-09-24T00:00:00+00:00,2026-09-24T04:59:06.961058+00:00,63700.0,63700.0,62770.0,63020.0,34
1623.T,2026-09-24T00:05:00+00:00,2026-09-24T04:59:06.961058+00:00,63050.0,63550.0,63050.0,63440.0,88
1623.T,2026-09-24T00:10:00+00:00,2026-09-24T04:59:06.961058+00:00,63450.0,63450.0,63180.0,63400.0,71
1623.T,2026-09-24T00:15:00+00:00,2026-09-24T04:59:06.961058+00:00,63470.0,63750.0,63470.0,63750.0,21
1623.T,2026-09-24T00:20:00+00:00,2026-09-24T04:59:06.961058+00:00,63800.0,63940.0,63740.0,63880.0,176
1623.T,2026-09-24T00:25:00+00:00,2026-09-24T04:59:06.961058+00:00,63860.0,63860.0,63630.0,63630.0,16
1623.T,2026-09-24T00:30:00+00:00,2026-09-24T04:59:06.961058+00:00,63530.0,63710.0,63530.0,63570.0,15
1624.T,2026-09-24T00:00:00+00:00,2026-09-24T04:59:06.961058+00:00,81800.0,82730.0,81800.0,82730.0,5
1624.T,2026-09-24T00:05:00+00:00,2026-09-24T04:59:06.961058+00:00,82800.0,82800.0,82650.0,82740.0,4
1624.T,2026-09-24T00:10:00+00:00,2026-09-24T04:59:06.961058+00:00,82770.0,82870.0,82770.0,82870.0,16
1624.T,2026-09-24T00:15:00+00:00,2026-09-24T04:59:06.961058+00:00,82620.0,82720.0,82620.0,82720.0,2
1624.T,2026-09-24T00:20:00+00:00,2026-09-24T04:59:06.961058+00:00,82790.0,82790.0,82790.0,82790.0,1
1624.T,2026-09-24T00:25:00+00:00,2026-09-24T04:59:06.961058+00:00,82790.0,82790.0,82790.0,82790.0,1
1624.T,2026-09-24T00:30:00+00:00,2026-09-24T04:59:06.961058+00:00,82640.0,82800.0,82640.0,82800.0,6
1625.T,2026-09-24T00:00:00+00:00,2026-09-24T04:59:06.961058+00:00,63490.0,63820.0,63320.0,63820.0,4
1625.T,2026-09-24T00:05:00+00:00,2026-09-24T04:59:06.961058+00:00,63730.0,63890.0,63690.0,63890.0,110
1625.T,2026-09-24T00:10:00+00:00,2026-09-24T04:59:06.961058+00:00,63770.0,63820.0,63770.0,63800.0,5
1625.T,2026-09-24T00:15:00+00:00,2026-09-24T04:59:06.961058+00:00,63870.0,63950.0,63870.0,63950.0,2
1625.T,2026-09-24T00:20:00+00:00,2026-09-24T04:59:06.961058+00:00,64080.0,64090.0,64070.0,64070.0,9
1625.T,2026-09-24T00:25:00+00:00,2026-09-24T04:59:06.961058+00:00,64070.0,64100.0,64070.0,64100.0,2
1625.T,2026-09-24T00:30:00+00:00,2026-09-24T04:59:06.961058+00:00,64220.0,64250.0,64190.0,64240.0,91
1626.T,2026-09-24T00:00:00+00:00,2026-09-24T04:59:06.961058+00:00,49850.0,49870.0,49500.0,49840.0,1
1626.T,2026-09-24T00:05:00+00:00,2026-09-24T04:59:06.961058+00:00,50010.0,50010.0,49820.0,49820.0,154
1626.T,2026-09-24T00:10:00+00:00,2026-09-24T04:59:06.961058+00:00,49850.0,49850.0,49740.0,49740.0,2
1626.T,2026-09-24T00:20:00+00:00,2026-09-24T04:59:06.961058+00:00,49700.0,49810.0,49700.0,49800.0,23
1627.T,2026-09-24T00:00:00+00:00,2026-09-24T04:59:06.961058+00:00,12750.0,12750.0,12510.0,12600.0,231
1627.T,2026-09-24T00:05:00+00:00,2026-09-24T04:59:06.961058+00:00,12610.0,12610.0,12495.0,12495.0,575
1627.T,2026-09-24T00:10:00+00:00,2026-09-24T04:59:06.961058+00:00,12495.0,12505.0,12465.0,12490.0,294
1627.T,2026-09-24T00:15:00+00:00,2026-09-24T04:59:06.961058+00:00,12485.0,12525.0,12485.0,12485.0,3137
1627.T,2026-09-24T00:20:00+00:00,2026-09-24T04:59:06.961058+00:00,12495.0,12520.0,12485.0,12520.0,137
1627.T,2026-09-24T00:25:00+00:00,2026-09-24T04:59:06.961058+00:00,12490.0,12490.0,12465.0,12465.0,370
1627.T,2026-09-24T00:30:00+00:00,2026-09-24T04:59:06.961058+00:00,12460.0,12485.0,12455.0,12480.0,456
1628.T,2026-09-24T00:00:00+00:00,2026-09-24T04:59:06.961058+00:00,22300.0,22300.0,22210.0,22210.0,5
1628.T,2026-09-24T00:05:00+00:00,2026-09-24T04:59:06.961058+00:00,22180.0,22180.0,22175.0,22175.0,24
1628.T,2026-09-24T00:10:00+00:00,2026-09-24T04:59:06.961058+00:00,22100.0,22100.0,22080.0,22095.0,6
1628.T,2026-09-24T00:20:00+00:00,2026-09-24T04:59:06.961058+00:00,22125.0,22125.0,22125.0,22125.0,1
1628.T,2026-09-24T00:25:00+00:00,2026-09-24T04:59:06.961058+00:00,22150.0,22150.0,22150.0,22150.0,1
1628.T,2026-09-24T00:30:00+00:00,2026-09-24T04:59:06.961058+00:00,22125.0,22150.0,22125.0,22150.0,24
1629.T,2026-09-24T00:00:00+00:00,2026-09-24T04:59:06.961058+00:00,281.79998779296875,281.79998779296875,276.8999938964844,278.6000061035156,41100
1629.T,2026-09-24T00:05:00+00:00,2026-09-24T04:59:06.961058+00:00,278.70001220703125,279.0,276.79998779296875,276.79998779296875,18890
