ticker,bar_start_utc,observed_at_utc,open,high,low,close,volume
1627.T,2026-09-18T00:05:00+00:00,2026-09-18T12:19:55.028899+00:00,12960.0,12960.0,12960.0,12960.0,685
1627.T,2026-09-18T00:10:00+00:00,2026-09-18T12:19:55.028899+00:00,12940.0,12940.0,12930.0,12930.0,20
1627.T,2026-09-18T00:15:00+00:00,2026-09-18T12:19:55.028899+00:00,12950.0,12950.0,12930.0,12940.0,7
1627.T,2026-09-18T00:20:00+00:00,2026-09-18T12:19:55.028899+00:00,12920.0,12920.0,12875.0,12875.0,156
1627.T,2026-09-18T00:25:00+00:00,2026-09-18T12:19:55.028899+00:00,12870.0,12870.0,12870.0,12870.0,11
1627.T,2026-09-18T00:30:00+00:00,2026-09-18T12:19:55.028899+00:00,12850.0,12850.0,12775.0,12775.0,133
1628.T,2026-09-18T00:00:00+00:00,2026-09-18T12:19:55.028899+00:00,22440.0,22440.0,22440.0,22440.0,0
1628.T,2026-09-18T00:10:00+00:00,2026-09-18T12:19:55.028899+00:00,22400.0,22400.0,22330.0,22330.0,27
1628.T,2026-09-18T00:15:00+00:00,2026-09-18T12:19:55.028899+00:00,22370.0,22370.0,22370.0,22370.0,1
1629.T,2026-09-18T00:05:00+00:00,2026-09-18T12:19:55.028899+00:00,280.20001220703125,280.70001220703125,280.0,280.0,251840
1629.T,2026-09-18T00:10:00+00:00,2026-09-18T12:19:55.028899+00:00,279.79998779296875,280.0,279.20001220703125,279.3999938964844,5600
1629.T,2026-09-18T00:15:00+00:00,2026-09-18T12:19:55.028899+00:00,279.3999938964844,280.70001220703125,279.3999938964844,279.70001220703125,1390
1629.T,2026-09-18T00:20:00+00:00,2026-09-18T12:19:55.028899+00:00,280.0,280.20001220703125,279.6000061035156,280.20001220703125,9960
1629.T,2026-09-18T00:25:00+00:00,2026-09-18T12:19:55.028899+00:00,280.20001220703125,280.29998779296875,279.8999938964844,280.0,7380
1629.T,2026-09-18T00:30:00+00:00,2026-09-18T12:19:55.028899+00:00,280.0,280.20001220703125,279.5,279.6000061035156,21880
1630.T,2026-09-18T00:05:00+00:00,2026-09-18T12:19:55.028899+00:00,36200.0,36200.0,36090.0,36090.0,1
1630.T,2026-09-18T00:10:00+00:00,2026-09-18T12:19:55.028899+00:00,36070.0,36070.0,36070.0,36070.0,1
1631.T,2026-09-18T00:00:00+00:00,2026-09-18T12:19:55.028899+00:00,41540.0,41540.0,41540.0,41540.0,0
1631.T,2026-09-18T00:05:00+00:00,2026-09-18T12:19:55.028899+00:00,41370.0,41450.0,41230.0,41230.0,918
1631.T,2026-09-18T00:10:00+00:00,2026-09-18T12:19:55.028899+00:00,41280.0,41310.0,41170.0,41270.0,65
1631.T,2026-09-18T00:15:00+00:00,2026-09-18T12:19:55.028899+00:00,41390.0,41390.0,41390.0,41390.0,4
1631.T,2026-09-18T00:20:00+00:00,2026-09-18T12:19:55.028899+00:00,41340.0,41340.0,41270.0,41270.0,7
1631.T,2026-09-18T00:25:00+00:00,2026-09-18T12:19:55.028899+00:00,41200.0,41220.0,41190.0,41220.0,113
1631.T,2026-09-18T00:30:00+00:00,2026-09-18T12:19:55.028899+00:00,41220.0,41220.0,41080.0,41080.0,71
1632.T,2026-09-18T00:00:00+00:00,2026-09-18T12:19:55.028899+00:00,44050.0,44050.0,44050.0,44050.0,0
1632.T,2026-09-18T00:05:00+00:00,2026-09-18T12:19:55.028899+00:00,44050.0,44050.0,44050.0,44050.0,35
1632.T,2026-09-18T00:10:00+00:00,2026-09-18T12:19:55.028899+00:00,43980.0,43980.0,43980.0,43980.0,1
1632.T,2026-09-18T00:15:00+00:00,2026-09-18T12:19:55.028899+00:00,44070.0,44070.0,44070.0,44070.0,4
1633.T,2026-09-18T00:00:00+00:00,2026-09-18T12:19:55.028899+00:00,49250.0,49250.0,49250.0,49250.0,0
1633.T,2026-09-18T00:10:00+00:00,2026-09-18T12:19:55.028899+00:00,48680.0,48740.0,48670.0,48740.0,18
1633.T,2026-09-18T00:15:00+00:00,2026-09-18T12:19:55.028899+00:00,48620.0,48620.0,48620.0,48620.0,6
1633.T,2026-09-18T00:20:00+00:00,2026-09-18T12:19:55.028899+00:00,48730.0,48730.0,48730.0,48730.0,1
